SampleID;606.wt.f;786.wt.m;773.tg.m;397.tg.m;504.wt.m;267.flox.m;635.tg.f;408.tg.f;822.wt.m;249.tg.f;462.flox.f;613.flox.f;455.flox.m;727.tg.f;405.tg.f;371.tg.m;503.wt.m;501.wt.m;592.flox.f;550.wt.m;343.tg.f;835.wt.m;599.wt.f;553.wt.f;594.tg.f;552.wt.m;776.tg.f;591.tg.f;831.flox.m;374.tg.m;779.flox.m;515.wt.m;294.flox.f;307.tg.m;834.wt.m;233.tg.f;593.tg.f;457.flox.m;634.flox.f;528.wt.f;460.flox.f;628.flox.f;398.flox.m;622.wt.f;530.wt.f;210.tg.m;526.wt.f;616.wt.f;456.flox.m;780.flox.m;470.tg.m;243.flox.m;830.tg.m;357.wt.m;772.flox.m;293.flox.f;629.flox.f;527.wt.f;781.flox.m;238.flox.m;350.tg.m;728.flox.f;336.tg.f;783.flox.m;312.tg.m;292.flox.f;821.wt.m;395.tg.m;774.tg.m;379.tg.m;670.tg.f;461.flox.f;788.wt.m;669.flox.f;296.flox.f;396.tg.m;364.tg.f;621.wt.f;782.tg.m;900.tg.m;295.flox.f;344.tg.f;603.wt.f;265.wt.m;520.wt.f;903.tg.m
"Bacteria;Bacteroidetes;;;;;";661;629;447;0;1001;1187;379;1;656;2998;535;750;689;697;880;0;1413;758;801;536;525;774;614;1604;533;1219;861;1252;391;1162;904;841;2111;1;211;2390;485;1356;654;673;1065;1317;973;503;883;33;943;633;1159;1204;1772;870;428;936;812;1064;1655;1150;886;849;0;1101;15;282;32;769;495;9;891;22;567;882;415;1539;1231;1;5;556;608;1483;1200;72;800;1057;793;653
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;";175;450;141;19;32;423;21;2;361;86;300;805;658;418;0;904;66;27;240;834;1;260;166;191;288;574;744;163;704;176;501;732;661;0;230;1;55;969;611;277;447;0;349;83;25;156;195;368;335;426;41;0;374;782;848;748;129;16;880;528;249;2;2;1329;289;122;341;1;771;43;422;478;420;696;493;1;2;298;1060;44;342;7;166;318;185;163
"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;";55;144;2;40;32;58;2;70;14;27;81;137;263;35;185;60;14;121;60;73;136;27;9;116;7;63;63;17;157;96;236;36;95;18;122;4;45;142;58;95;81;154;72;62;29;279;20;85;192;96;50;32;47;227;143;37;216;136;186;85;192;139;112;158;119;18;45;29;13;26;33;134;178;171;107;34;76;75;44;105;43;10;6;88;115;100
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;";4;4;7;3;220;82;4;11;12;2;4;10;1;1;24;43;80;314;2;6;0;3;2;3;7;17;6;7;5;0;1;390;3;0;6;0;3;2;10;27;12;9;1;1;1138;18;26;1;9;3;1;5;8;5;4;5;27;45;2;10;2;6;111;2;2;4;2;1;5;36;6;4;4;40;6;0;32;4;8;2;6;0;4;244;10;8
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;";167;140;99;32;15;76;21;0;177;0;23;199;154;266;17;36;22;7;113;172;3;34;216;2;9;2;91;129;192;4;98;4;1;4;50;1;16;6;35;3;44;336;3;5;25;3;0;10;15;188;3;1;2;0;419;1;21;43;24;14;1;36;2;88;8;1;2;2;82;18;199;6;210;445;0;19;8;81;2;41;0;1;109;9;4;285
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7;;";96;67;40;2;48;245;114;46;86;436;108;105;34;8;144;0;26;78;297;29;125;75;24;32;15;64;33;87;109;232;107;62;141;186;106;100;29;17;7;58;155;116;49;111;22;126;45;66;30;127;30;355;24;38;78;151;5;103;168;183;40;44;94;70;66;102;143;104;20;218;6;129;99;45;145;25;124;64;102;10;68;193;21;47;74;10
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;S24-7;;";17;9;1;60;10;65;6;114;9;130;35;15;13;2;157;113;12;15;17;2;84;16;6;12;2;19;0;3;7;136;9;22;17;247;15;308;0;4;0;26;44;30;10;10;14;71;11;9;3;23;76;63;1;20;4;27;1;10;17;31;41;10;157;1;256;36;6;126;1;64;0;46;2;3;46;670;112;6;1;1;25;103;2;15;26;1
"Bacteria;Firmicutes;Clostridia;Clostridiales;Defluviitaleaceae;;";19;22;16;73;32;7;12;67;17;59;28;6;15;28;68;216;44;49;12;42;104;6;13;30;51;42;1;59;15;42;12;57;19;75;11;36;22;14;9;13;18;20;3;34;12;45;8;45;18;17;134;13;3;6;12;25;26;20;10;12;80;25;176;2;110;7;3;87;14;163;7;30;12;40;17;35;141;94;10;42;16;66;11;24;17;16
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;";11;7;0;225;11;51;12;178;5;149;24;7;10;2;256;672;26;52;20;21;173;10;4;30;3;22;0;4;14;62;6;88;102;490;9;418;0;9;1;98;52;9;21;5;23;59;17;9;8;14;46;28;1;64;11;75;4;76;33;16;42;4;275;7;90;94;5;422;10;295;0;29;9;2;67;846;274;20;13;3;49;229;0;85;87;0
"Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae;Anaeroplasma;";70;110;15;0;67;8;3;0;14;0;1;0;0;38;4;0;67;105;0;12;38;0;28;11;0;35;378;0;0;0;0;14;0;0;0;0;0;0;0;12;0;80;0;0;44;0;36;0;0;249;0;0;0;6;85;0;485;475;0;0;0;39;115;0;0;0;38;0;27;0;0;15;0;0;0;0;0;0;0;0;2;0;31;39;43;0
